Smiles,Score
CNC1C=C2C=c3ccc4n3[Fe]35N6C(=CCC6=Cc6ccc(n63)C=4)C=C1N25,0
O=C1Cc2c3nc(cc4[nH]c(cc5nc(cc6cc1c2[nH]6)CC5)cc4-c1cnc[nH]c1=O)CC3,0
NS(=O)(=O)C1CCC2C3CCC4CCCCC4C3CCC21,0
[NH3+]C1CCCC2OC12,0
CCC1CCC2OC2C1,8.82777071
O=C1CC2CCC([n+]3c[nH]c4nc[nH]c(=O)c43)C3CCC=C3C2O1,0
O=c1[nH]cnc2c1NC1C=C(c3c[nH+]cs3)COC1N2,0
O=[PH]1OCC2OCCC2OP(=O)(C2CCC2)OCC2OCCC2O1,0
O=C1Cc2c3nc(cc4cc(C=NO)c(cc5nc(cc6cc1c2[nH]6)C=C5)[nH]4)CC3,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)C=C5c1cc2n5c1=CC1=CCC6=CC7=CCC8=Cc9ccc(n9[Fe]5(N16)N78)C=2)[nH]4)CC3,0
O=C1C2=CC3C(=O)C=CCC3CC2C([Hg])c2ccccc21,0
C1=C2C=c3ccc4n3[Fe]35N2C(=CC2=CC(c6nc7ccccc7[nH]6)C(=Cc6ccc(n63)C=4)N25)C1,0
O=[SH]C1c2ccccc2C(=O)C2=CC3C(=O)C=CCC3CC21,0
O=C1C=C(C2Cc3nc2cc2ccc(cc4nc(cc5cc6c([nH]5)c3CC6=O)CC4)[nH]2)CN1,0
c1cc2c(cc1C1CNCS1)CCCC2,0
c1ccc2c(c1)CCC1C2CCC2(c3ccc4cc[nH]c4n3)CCCC12,0
NC1CCSSC1,4.869010925
O=c1[nH]c(C2OC3CCC2OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)OC2CCC(CO2)O3)nc2c1NCCN2,0
O=c1[nH]cnc2c1ncn2C1CCC2C(=CCC3C4CCCC4CCC23)C1,0
c1ncc2cc(-c3cc4[nH]c3Cc3ccc([nH]3)Cc3ccc([nH]3)Cc3ccc([nH]3)C4)sc2n1,6.019439697
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)C=C5)[nH]4)CC3c1ccc2[nH]ccc2c1,0
O=C1C=C2CCC3C(CCC4(c5nc6c(=O)[nH]cnc6[nH]5)CCCC34)C2CC1,0
O=C1Cc2c3nc(cc4ccc(cc5nc(cc6cc1c2[nH]6)C=C5)[nH]4)CC3C1=CCC=CN1,0
O=C1NCCC1c1ccc2cc[nH]c2c1,7.970692396
C=NC(=O)[O-],0
c1ccc(-[n+]2ccccc2)cc1,0
PC1CCSSC1,0
C[NH+](C)C(N)=O,0
In1ccc2ccccc21,0
C[PH](=O)[O-],0
C[SH+]c1cnn[nH]1,0
CNC(=O)c1cncs1,8.996806622
CNC(=O)NCP(=O)(O)O,0
O=P([O-])(O)n1cnc2cncnc21,0
CC(O)NO,0
CC(C)(C)NC(=O)c1nnco1,7.947067738
C=C(C)CO,9.821092248
C[N+](C)(C)c1csc2ncncc12,0
C=C1N=CC=C1NC(=O)N[SH](=O)=O,0
O=c1ccoc2cccc(-n3ncc4cncnc43)c12,5.906434536
C/C=C(\C)c1cccc2cnccc12,7.892575741
O=c1[nH]c2ccccc2n(-c2nccc3ccccc23)c1=O,8.778773308
c1nn[nH]c1N1CCC1,8.389054775
CC(C)(O)c1cscn1,8.974074841
C=C1C=C(C(C)N)C(=O)N1,0
O=c1[nH]cc(-c2cccc3[nH]ccc23)c(=O)[nH]1,8.902528763
O=C1CCCN1c1ccnc2ccnn12,8.484485865
c1cnc2ccc(-c3cncs3)cc2c1,8.978239536
O=[SH]c1cccc2c1OCO2,0
CNc1ccc2c(=O)[nH]cnc2c1,8.976326942
C1=C(n2ccc3cncnc32)NCC1,0
O=c1ccnc([PH](=O)[O-])[nH]1,0
O=c1[nH]c2nc[nH]c2c(=O)n1[NH+]1CCOCC1,0
NC(=O)NCC=C1C=CC(=O)N1,0
O=C1C=CC(=Cn2c[nH+]c3c(=O)[nH]cnc32)N1,0
OB(O)c1ccc[nH]1,2.28377533
c1ncc(C2CCCNC2)s1,8.281668186
O=C1CCC(=CC2CCNC2=O)N1,0
O=C1CCCN1C1CC2O[PH](=O)OCC2O1,0
C=C1CCC(=Cc2c3n4c(c2=C)=Cc2ccc5n2[Fe]42n4c(cc(=C)c4=C3)C=c3ccc(n32)=C5)CC1,0
O=C1C=C2CCC3C(CCC4(c5cccs5)CCCC34)C2CC1,0
O=C1CCCC(C2=CCCCO2)C1,7.016742706
C=c1cc2n3c1=Cc1c(C4CCNC4)cc4n1[Fe]31n3c(cc(=C)c3=C2)C=c2ccc(n21)=C4,0
O=c1[nH]c2c(c(=O)[nH]1)N(C1CCCC1)c1ccccc1N2,0
O=c1[nH]cnc2c1NC1C=CC(c3ncccn3)OC1N2,0
C=C1CCC(CCl)CC1=C,6.871007919
C1=C2CCCCC2C2CCC3(c4cccnc4)CCCC3C2C1,0
C1=C2CCCCC2(c2cccc3ccccc23)C2CCC3CCCC3C2C1,0
O=C1C2=CC3C(=O)C=C(c4ncc[nH]4)CC3CC2Cc2ccccc21,0
NS(=O)(=O)C1CC2CCCC2C2CCC3CCCCC3C21,0
